DateTime,Date,Hour,North,South,East,West,Central
2014-04-01 01:00:00,2014-04-01,1,55,54,54,58,54
2014-04-01 02:00:00,2014-04-01,2,55,54,54,59,54
2014-04-01 03:00:00,2014-04-01,3,55,55,54,60,55
2014-04-01 04:00:00,2014-04-01,4,56,55,55,62,55
2014-04-01 05:00:00,2014-04-01,5,57,55,56,63,56
2014-04-01 06:00:00,2014-04-01,6,58,56,56,64,56
2014-04-01 07:00:00,2014-04-01,7,59,57,57,65,57
2014-04-01 08:00:00,2014-04-01,8,60,57,58,66,58
2014-04-01 09:00:00,2014-04-01,9,59,57,58,66,59
2014-04-01 10:00:00,2014-04-01,10,60,58,58,67,59
2014-04-01 11:00:00,2014-04-01,11,60,57,59,67,59
2014-04-01 12:00:00,2014-04-01,12,60,57,58,67,59
2014-04-01 13:00:00,2014-04-01,13,59,56,58,67,59
2014-04-01 14:00:00,2014-04-01,14,59,56,58,67,59
2014-04-01 15:00:00,2014-04-01,15,59,56,57,67,59
2014-04-01 16:00:00,2014-04-01,16,58,55,57,66,59
2014-04-01 17:00:00,2014-04-01,17,58,55,58,66,59
2014-04-01 18:00:00,2014-04-01,18,57,55,57,66,59
2014-04-01 19:00:00,2014-04-01,19,57,55,57,66,59
2014-04-01 20:00:00,2014-04-01,20,58,56,57,66,59
2014-04-01 21:00:00,2014-04-01,21,58,56,57,66,59
2014-04-01 22:00:00,2014-04-01,22,58,56,57,65,58
2014-04-01 23:00:00,2014-04-01,23,58,56,57,65,58
2014-04-02 00:00:00,2014-04-02,0,58,55,57,64,58
2014-04-02 01:00:00,2014-04-02,1,58,56,57,64,58
2014-04-02 02:00:00,2014-04-02,2,58,56,57,63,58
2014-04-02 03:00:00,2014-04-02,3,58,55,57,62,58
2014-04-02 04:00:00,2014-04-02,4,57,55,57,62,58
2014-04-02 05:00:00,2014-04-02,5,57,55,56,61,58
2014-04-02 06:00:00,2014-04-02,6,56,54,55,60,58
2014-04-02 07:00:00,2014-04-02,7,55,54,55,60,57
2014-04-02 08:00:00,2014-04-02,8,55,54,54,60,56
2014-04-02 09:00:00,2014-04-02,9,55,53,54,60,56
2014-04-02 10:00:00,2014-04-02,10,55,53,54,60,56
2014-04-02 11:00:00,2014-04-02,11,55,53,54,61,56
2014-04-02 12:00:00,2014-04-02,12,56,52,54,60,55
2014-04-02 13:00:00,2014-04-02,13,56,52,54,61,56
2014-04-02 14:00:00,2014-04-02,14,56,53,54,60,56
2014-04-02 15:00:00,2014-04-02,15,56,53,54,61,56
2014-04-02 16:00:00,2014-04-02,16,56,53,54,61,56
2014-04-02 17:00:00,2014-04-02,17,57,53,54,61,56
2014-04-02 18:00:00,2014-04-02,18,57,53,54,61,56
2014-04-02 19:00:00,2014-04-02,19,57,54,53,61,56
2014-04-02 20:00:00,2014-04-02,20,57,54,54,61,56
2014-04-02 21:00:00,2014-04-02,21,57,54,54,62,56
2014-04-02 22:00:00,2014-04-02,22,57,53,54,62,57
2014-04-02 23:00:00,2014-04-02,23,57,53,54,63,56
2014-04-03 00:00:00,2014-04-03,0,57,53,54,63,56
2014-04-03 01:00:00,2014-04-03,1,57,53,54,63,57
2014-04-03 02:00:00,2014-04-03,2,57,53,54,62,57
2014-04-03 03:00:00,2014-04-03,3,57,52,54,62,56
2014-04-03 04:00:00,2014-04-03,4,56,53,54,62,56
2014-04-03 05:00:00,2014-04-03,5,56,53,53,62,56
2014-04-03 06:00:00,2014-04-03,6,55,54,53,61,56
2014-04-03 07:00:00,2014-04-03,7,55,54,53,61,56
2014-04-03 08:00:00,2014-04-03,8,55,54,53,61,55
2014-04-03 09:00:00,2014-04-03,9,54,54,52,60,55
2014-04-03 10:00:00,2014-04-03,10,55,54,52,60,54
2014-04-03 11:00:00,2014-04-03,11,55,54,52,59,54
2014-04-03 12:00:00,2014-04-03,12,55,54,52,59,54
2014-04-03 13:00:00,2014-04-03,13,55,54,52,58,54
2014-04-03 14:00:00,2014-04-03,14,55,53,52,58,53
2014-04-03 15:00:00,2014-04-03,15,54,52,51,57,53
2014-04-03 16:00:00,2014-04-03,16,55,52,51,57,52
2014-04-03 17:00:00,2014-04-03,17,55,53,51,57,52
2014-04-03 18:00:00,2014-04-03,18,55,52,49,56,51
2014-04-03 19:00:00,2014-04-03,19,54,52,49,56,50
2014-04-03 20:00:00,2014-04-03,20,54,51,50,55,49
2014-04-03 21:00:00,2014-04-03,21,54,51,50,54,48
2014-04-03 22:00:00,2014-04-03,22,54,51,49,54,47
2014-04-03 23:00:00,2014-04-03,23,54,52,48,53,47
2014-04-04 00:00:00,2014-04-04,0,54,52,48,53,46
2014-04-04 01:00:00,2014-04-04,1,54,52,47,54,44
2014-04-04 02:00:00,2014-04-04,2,54,53,46,54,47
2014-04-04 03:00:00,2014-04-04,3,54,54,48,55,49
2014-04-04 04:00:00,2014-04-04,4,55,54,50,55,50
2014-04-04 05:00:00,2014-04-04,5,55,54,51,55,51
2014-04-04 06:00:00,2014-04-04,6,56,55,52,56,52
2014-04-04 07:00:00,2014-04-04,7,56,55,52,56,53
2014-04-04 08:00:00,2014-04-04,8,57,55,53,56,54
2014-04-04 09:00:00,2014-04-04,9,57,55,54,56,55
2014-04-04 10:00:00,2014-04-04,10,58,56,54,56,55
2014-04-04 11:00:00,2014-04-04,11,58,56,55,56,55
2014-04-04 12:00:00,2014-04-04,12,58,57,55,56,56
2014-04-04 13:00:00,2014-04-04,13,58,58,56,57,57
2014-04-04 14:00:00,2014-04-04,14,58,58,57,57,57
2014-04-04 15:00:00,2014-04-04,15,58,60,57,57,58
2014-04-04 16:00:00,2014-04-04,16,58,60,58,58,59
2014-04-04 17:00:00,2014-04-04,17,59,60,59,58,60
2014-04-04 18:00:00,2014-04-04,18,59,61,60,58,61
2014-04-04 19:00:00,2014-04-04,19,60,61,61,59,62
2014-04-04 20:00:00,2014-04-04,20,61,61,62,59,62
2014-04-04 21:00:00,2014-04-04,21,61,61,62,59,63
2014-04-04 22:00:00,2014-04-04,22,61,62,63,59,63
2014-04-04 23:00:00,2014-04-04,23,62,63,63,59,64
2014-04-05 00:00:00,2014-04-05,0,63,64,64,60,66
2014-04-05 01:00:00,2014-04-05,1,64,65,65,61,67
2014-04-05 02:00:00,2014-04-05,2,65,65,66,61,67
2014-04-05 03:00:00,2014-04-05,3,66,66,66,61,67
2014-04-05 04:00:00,2014-04-05,4,66,66,67,62,68
2014-04-05 05:00:00,2014-04-05,5,67,65,67,62,68
2014-04-05 06:00:00,2014-04-05,6,67,65,68,62,67
2014-04-05 07:00:00,2014-04-05,7,67,65,68,62,67
2014-04-05 08:00:00,2014-04-05,8,67,65,68,62,67
2014-04-05 09:00:00,2014-04-05,9,67,65,67,62,67
2014-04-05 10:00:00,2014-04-05,10,67,65,67,62,67
2014-04-05 11:00:00,2014-04-05,11,66,64,67,61,67
2014-04-05 12:00:00,2014-04-05,12,65,64,66,60,66
2014-04-05 13:00:00,2014-04-05,13,64,63,66,60,66
2014-04-05 14:00:00,2014-04-05,14,63,63,66,59,65
2014-04-05 15:00:00,2014-04-05,15,62,62,66,58,65
2014-04-05 16:00:00,2014-04-05,16,62,62,66,58,64
2014-04-05 17:00:00,2014-04-05,17,61,61,64,58,63
2014-04-05 18:00:00,2014-04-05,18,60,60,63,57,62
2014-04-05 19:00:00,2014-04-05,19,59,60,62,55,61
2014-04-05 20:00:00,2014-04-05,20,59,60,61,55,61
2014-04-05 21:00:00,2014-04-05,21,59,61,60,55,61
2014-04-05 22:00:00,2014-04-05,22,59,60,60,55,60
2014-04-05 23:00:00,2014-04-05,23,59,60,60,55,59
2014-04-06 00:00:00,2014-04-06,0,58,59,59,54,59
2014-04-06 01:00:00,2014-04-06,1,57,58,58,53,58
2014-04-06 02:00:00,2014-04-06,2,56,58,57,52,57
2014-04-06 03:00:00,2014-04-06,3,56,57,57,52,56
2014-04-06 04:00:00,2014-04-06,4,55,56,57,49,56
2014-04-06 05:00:00,2014-04-06,5,55,56,57,46,55
2014-04-06 06:00:00,2014-04-06,6,54,55,56,43,55
2014-04-06 07:00:00,2014-04-06,7,54,55,56,40,54
2014-04-06 08:00:00,2014-04-06,8,53,54,55,38,53
2014-04-06 09:00:00,2014-04-06,9,53,54,55,35,53
2014-04-06 10:00:00,2014-04-06,10,53,54,55,36,52
2014-04-06 11:00:00,2014-04-06,11,53,54,55,38,53
2014-04-06 12:00:00,2014-04-06,12,54,54,55,40,53
2014-04-06 13:00:00,2014-04-06,13,54,54,54,40,52
2014-04-06 14:00:00,2014-04-06,14,55,53,54,41,52
2014-04-06 15:00:00,2014-04-06,15,55,53,53,41,52
2014-04-06 16:00:00,2014-04-06,16,55,52,53,41,52
2014-04-06 17:00:00,2014-04-06,17,55,52,53,42,51
2014-04-06 18:00:00,2014-04-06,18,55,52,53,42,51
2014-04-06 19:00:00,2014-04-06,19,54,52,52,42,51
2014-04-06 20:00:00,2014-04-06,20,54,51,52,41,50
2014-04-06 21:00:00,2014-04-06,21,53,48,52,41,49
2014-04-06 22:00:00,2014-04-06,22,53,47,52,40,48
2014-04-06 23:00:00,2014-04-06,23,53,45,51,38,48
2014-04-07 00:00:00,2014-04-07,0,53,45,52,39,49
2014-04-07 01:00:00,2014-04-07,1,53,43,52,39,51
2014-04-07 02:00:00,2014-04-07,2,52,42,52,38,50
2014-04-07 03:00:00,2014-04-07,3,51,40,51,37,48
2014-04-07 04:00:00,2014-04-07,4,50,39,51,38,48
2014-04-07 05:00:00,2014-04-07,5,49,40,49,40,47
2014-04-07 06:00:00,2014-04-07,6,47,39,47,41,46
2014-04-07 07:00:00,2014-04-07,7,45,39,47,42,47
2014-04-07 08:00:00,2014-04-07,8,44,39,47,44,46
2014-04-07 09:00:00,2014-04-07,9,43,39,48,46,45
2014-04-07 10:00:00,2014-04-07,10,42,38,49,46,45
2014-04-07 11:00:00,2014-04-07,11,43,39,49,46,44
2014-04-07 12:00:00,2014-04-07,12,42,39,51,45,42
2014-04-07 13:00:00,2014-04-07,13,43,40,51,44,44
2014-04-07 14:00:00,2014-04-07,14,43,42,51,45,44
2014-04-07 15:00:00,2014-04-07,15,43,43,52,46,43
2014-04-07 16:00:00,2014-04-07,16,45,46,52,46,45
2014-04-07 17:00:00,2014-04-07,17,46,50,52,49,50
2014-04-07 18:00:00,2014-04-07,18,48,52,53,50,51
2014-04-07 19:00:00,2014-04-07,19,51,52,53,52,51
2014-04-07 20:00:00,2014-04-07,20,51,52,53,52,52
2014-04-07 21:00:00,2014-04-07,21,51,53,53,53,52
2014-04-07 22:00:00,2014-04-07,22,52,53,54,53,52
2014-04-07 23:00:00,2014-04-07,23,52,53,54,54,51
