"Year","Epidemiology Week","Cholera","Paratyphoid","Typhoid","Acute Viral Hepatitis A","Acute Viral Hepatitis E","Poliomyelitis","Plague","Yellow Fever","Dengue","DHF","Malaria","Chikungunya","HFMD","Diphtheria","Measles","Mumps","Rubella","SARS","Nipah","Acute Viral hepatitis B","Encephalitis","Legionellosis","Campylobacter enteritis","Acute Viral hepatitis C","Leptospirosis","Melioidosis","Meningococcal Infection","Pertussis","Pneumococcal Disease (invasive)","Haemophilus influenzae type b","Salmonellosis(non-enteric fevers)","Avian Influenza","Zika","Ebola Virus Disease","Japanese Encephalitis","Tetanus","Botulism","Murine Typhus","Acute Upper Respiratory Tract infections","Acute Conjunctivitis","Acute Diarrhoea","Chickenpox"
"2012","1","0","1","6","1","3","0","0","0","74","0","1","0","326","0","2","11","1","0","0","0","0","0","6","0","Nan","0","0","2","3","0","26","0","Nan","Nan","Nan","Nan","Nan","Nan","2932","120","491","18"
"2012","2","0","1","3","2","0","0","0","0","64","2","2","1","346","0","1","10","2","0","0","0","0","0","7","0","Nan","1","0","0","3","0","24","0","Nan","Nan","Nan","Nan","Nan","Nan","3189","114","575","19"
"2012","3","0","1","5","3","0","0","0","0","60","1","2","1","463","0","2","15","4","0","0","0","3","0","9","0","Nan","1","0","5","3","0","21","0","Nan","Nan","Nan","Nan","Nan","Nan","3185","106","539","16"
"2012","4","0","1","1","3","2","0","0","0","50","2","3","0","372","0","0","8","2","0","0","1","1","1","8","0","Nan","1","0","0","2","0","12","0","Nan","Nan","Nan","Nan","Nan","Nan","4001","118","615","24"
"2012","5","0","3","5","2","0","0","0","0","84","1","1","0","444","0","2","12","0","0","0","1","0","0","8","0","Nan","0","0","1","5","0","37","0","Nan","Nan","Nan","Nan","Nan","Nan","3356","110","559","18"
"2012","6","0","2","0","0","4","0","0","0","87","0","2","0","683","0","4","12","2","0","0","1","2","1","5","0","Nan","1","0","0","4","0","40","0","Nan","Nan","Nan","Nan","Nan","Nan","3358","111","557","20"
"2012","7","0","1","2","0","2","0","0","0","65","0","1","0","810","0","1","12","4","0","0","0","0","0","8","0","Nan","0","0","0","3","0","29","0","Nan","Nan","Nan","Nan","Nan","Nan","3033","105","529","19"
"2012","8","0","4","3","0","3","0","0","0","50","1","0","1","989","0","2","18","0","0","0","0","0","0","8","0","Nan","1","0","0","3","0","12","0","Nan","Nan","Nan","Nan","Nan","Nan","2953","102","513","21"
"2012","9","0","4","1","2","0","0","0","0","55","0","0","1","1115","0","1","10","2","0","0","2","0","1","6","0","Nan","1","0","3","2","0","27","0","Nan","Nan","Nan","Nan","Nan","Nan","2855","105","505","17"
"2012","10","0","2","1","2","3","0","0","0","45","1","4","2","1139","0","0","16","0","0","0","3","1","1","12","1","Nan","0","0","0","9","0","28","0","Nan","Nan","Nan","Nan","Nan","Nan","2868","95","488","19"
"2012","11","0","2","1","1","2","0","0","0","64","0","2","0","1011","0","1","8","1","0","0","0","1","1","10","0","Nan","1","0","0","2","0","36","0","Nan","Nan","Nan","Nan","Nan","Nan","2615","103","432","15"
"2012","12","0","1","1","0","2","0","0","0","72","1","2","0","1018","0","1","11","0","0","0","1","2","1","5","0","Nan","0","0","3","3","0","26","0","Nan","Nan","Nan","Nan","Nan","Nan","2803","112","507","21"
"2012","13","0","0","2","1","2","0","0","0","48","0","4","0","1017","0","0","15","2","0","0","2","0","2","14","0","Nan","0","0","1","0","0","27","0","Nan","Nan","Nan","Nan","Nan","Nan","2711","106","477","17"
"2012","14","0","0","1","0","2","0","0","0","52","0","2","0","952","0","0","6","2","0","0","0","0","0","2","0","Nan","0","0","1","1","0","27","0","Nan","Nan","Nan","Nan","Nan","Nan","2935","110","486","20"
"2012","15","0","2","2","0","0","0","0","0","81","1","2","1","1167","0","0","13","2","0","0","0","0","2","12","0","Nan","1","0","0","1","0","25","0","Nan","Nan","Nan","Nan","Nan","Nan","3098","98","487","18"
"2012","16","0","0","0","4","2","0","0","0","77","0","4","1","1387","0","0","15","2","0","0","0","0","1","6","0","Nan","1","0","0","2","0","36","0","Nan","Nan","Nan","Nan","Nan","Nan","3056","114","502","19"
"2012","17","0","2","1","1","1","0","0","0","64","0","2","0","1581","0","1","13","3","0","0","0","1","0","14","0","Nan","1","0","0","7","0","27","0","Nan","Nan","Nan","Nan","Nan","Nan","3022","108","478","21"
"2012","18","0","1","3","0","3","0","0","0","86","2","2","0","1462","0","1","13","2","0","0","3","0","0","2","0","Nan","1","0","0","3","0","21","0","Nan","Nan","Nan","Nan","Nan","Nan","3090","106","537","26"
"2012","19","0","0","2","1","5","0","0","0","96","1","1","1","1607","0","1","19","2","0","0","0","0","0","12","0","Nan","0","0","0","1","0","34","0","Nan","Nan","Nan","Nan","Nan","Nan","3100","101","488","21"
"2012","20","0","3","2","2","4","0","0","0","80","0","2","0","1682","0","0","11","0","0","0","1","0","0","7","0","Nan","2","0","1","2","0","28","0","Nan","Nan","Nan","Nan","Nan","Nan","3167","117","481","26"
"2012","21","1","0","3","2","2","0","0","0","80","0","1","0","1458","0","0","10","1","0","0","1","0","0","6","0","Nan","0","0","0","3","0","32","0","Nan","Nan","Nan","Nan","Nan","Nan","2982","95","454","21"
"2012","22","0","1","1","3","2","0","0","0","81","0","2","0","1105","0","1","5","1","0","0","3","0","1","7","0","Nan","1","0","1","3","0","30","0","Nan","Nan","Nan","Nan","Nan","Nan","2719","91","428","19"
"2012","23","0","1","2","2","0","0","0","0","99","1","3","0","981","0","0","9","1","0","0","2","0","0","7","0","Nan","0","0","1","2","0","37","0","Nan","Nan","Nan","Nan","Nan","Nan","2550","93","404","15"
"2012","24","0","0","2","2","3","0","0","0","87","1","3","0","906","0","1","11","1","0","0","0","0","2","5","0","Nan","1","0","0","6","0","27","0","Nan","Nan","Nan","Nan","Nan","Nan","2495","91","416","14"
"2012","25","0","4","2","2","0","0","0","0","128","1","5","0","794","0","1","7","0","0","0","0","1","1","11","0","Nan","0","0","1","4","0","32","0","Nan","Nan","Nan","Nan","Nan","Nan","2381","84","399","20"
