Year,Month,Day,Hour,PSI_North,PSI_South,PSI_East,PSI_West,PSI_Central,PSI_Overall_Singapore,PM2.5_North,PM2.5_South,PM2.5_East,PM2.5_West,PM2.5_Central,PM2.5_Overall_Singapore
2012,1,1,1am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,1,2am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,1,3am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,1,4am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,1,5am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,1,6am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,1,7am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,1,8am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,1,9am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,1,10am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,1,11am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,1,12pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,1,1pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,1,2pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,1,3pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,1,4pm,26,31,23,33,27,23-33,-,-,-,-,-,-
2012,1,1,5pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,1,6pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,1,7pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,1,8pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,1,9pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,1,10pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,1,11pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,1,12am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,2,1am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,2,2am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,2,3am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,2,4am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,2,5am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,2,6am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,2,7am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,2,8am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,2,9am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,2,10am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,2,11am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,2,12pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,2,1pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,2,2pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,2,3pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,2,4pm,19,22,20,28,24,19-28,-,-,-,-,-,-
2012,1,2,5pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,2,6pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,2,7pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,2,8pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,2,9pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,2,10pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,2,11pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,2,12am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,3,1am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,3,2am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,3,3am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,3,4am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,3,5am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,3,6am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,3,7am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,3,8am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,3,9am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,3,10am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,3,11am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,3,12pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,3,1pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,3,2pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,3,3pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,3,4pm,20,24,24,25,28,20-28,-,-,-,-,-,-
2012,1,3,5pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,3,6pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,3,7pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,3,8pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,3,9pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,3,10pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,3,11pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,3,12am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,4,1am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,4,2am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,4,3am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,4,4am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,4,5am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,4,6am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,4,7am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,4,8am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,4,9am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,4,10am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,4,11am,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,4,12pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,4,1pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,4,2pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,4,3pm,-,-,-,-,-,-,-,-,-,-,-,-
2012,1,4,4pm,29,34,30,30,38,29-38,-,-,-,-,-,-
