year,week,psi,rain,patient,result
2012.0,1.0,27.0,16.0,2932.0,2747.401611328125
2012.0,2.0,22.0,16.0,3189.0,2748.1552734375
2012.0,3.0,31.0,16.0,3185.0,2745.01220703125
2012.0,4.0,23.0,16.0,4001.0,2746.60205078125
2012.0,5.0,25.0,16.0,3356.0,2745.406005859375
2012.0,6.0,27.0,11.0,3358.0,2743.79150390625
2012.0,7.0,30.0,11.0,3033.0,2742.31689453125
2012.0,8.0,25.0,11.0,2953.0,2743.06982421875
2012.0,9.0,50.0,11.0,2855.0,2735.4521484375
2012.0,10.0,27.0,21.0,2868.0,2742.056884765625
2012.0,11.0,26.0,21.0,2615.0,2741.692626953125
2012.0,12.0,39.0,21.0,2803.0,2737.397705078125
2012.0,13.0,33.0,21.0,2711.0,2738.435791015625
2012.0,14.0,33.0,20.0,2935.0,2737.70703125
2012.0,15.0,32.0,20.0,3098.0,2737.34033203125
2012.0,16.0,32.0,20.0,3056.0,2736.691650390625
2012.0,17.0,48.0,20.0,3022.0,2731.53662109375
2012.0,18.0,32.0,20.0,3090.0,2735.392822265625
2012.0,19.0,33.0,19.0,3100.0,2734.381591796875
2012.0,20.0,33.0,19.0,3167.0,2733.73046875
2012.0,21.0,25.0,19.0,2982.0,2735.333251953125
2012.0,22.0,35.0,19.0,2719.0,2731.86279296875
2012.0,23.0,28.0,8.0,2550.0,2732.32763671875
2012.0,24.0,32.0,8.0,2495.0,2730.555419921875
2012.0,25.0,27.0,8.0,2381.0,2731.309814453125
2012.0,26.0,47.0,8.0,2471.0,2725.03369140625
2012.0,27.0,27.0,17.0,2597.0,2730.697998046875
2012.0,28.0,27.0,17.0,2949.0,2730.043701171875
2012.0,29.0,28.0,17.0,3168.0,2729.106201171875
2012.0,30.0,36.0,17.0,3214.0,2726.186279296875
2012.0,31.0,35.0,17.0,2980.0,2725.811767578125
2012.0,32.0,35.0,12.0,2857.0,2724.782958984375
2012.0,33.0,34.0,12.0,2650.0,2724.40869140625
2012.0,34.0,35.0,12.0,2669.0,2723.46826171875
2012.0,35.0,35.0,12.0,2533.0,2722.809814453125
2012.0,36.0,44.0,10.0,2343.0,2719.458251953125
2012.0,37.0,43.0,10.0,2619.0,2719.081298828125
2012.0,38.0,47.0,10.0,2579.0,2717.286376953125
2012.0,39.0,43.0,10.0,2517.0,2717.759033203125
2012.0,40.0,39.0,13.0,2575.0,2718.443603515625
2012.0,41.0,43.0,13.0,2638.0,2716.6435546875
2012.0,42.0,30.0,13.0,2695.0,2719.67529296875
2012.0,43.0,31.0,13.0,2768.0,2718.72802734375
2012.0,44.0,22.0,13.0,2605.0,2720.623291015625
2012.0,45.0,25.0,22.0,2578.0,2719.75146484375
2012.0,46.0,29.0,22.0,2581.0,2717.94091796875
2012.0,47.0,27.0,22.0,2504.0,2717.8447265625
2012.0,48.0,39.0,22.0,2542.0,2713.739990234375
2012.0,49.0,23.0,22.0,2681.0,2717.651611328125
2012.0,50.0,23.0,22.0,2604.0,2716.982421875
2012.0,51.0,22.0,22.0,2497.0,2716.598876953125
2012.0,52.0,21.0,22.0,2812.0,2716.215087890625
2013.0,1.0,24.0,15.0,3022.0,2747.98388671875
2013.0,2.0,27.0,15.0,3120.0,2746.51318359375
2013.0,3.0,25.0,15.0,3133.0,2746.43212890625
2013.0,4.0,23.0,15.0,3190.0,2746.350830078125
2013.0,5.0,23.0,15.0,3036.0,2745.712646484375
2013.0,6.0,18.0,22.0,2599.0,2747.062255859375
2013.0,7.0,20.0,22.0,3033.0,2745.862060546875
2013.0,8.0,33.0,22.0,2942.0,2741.5810546875
2013.0,9.0,42.0,22.0,2753.0,2738.412109375
2013.0,10.0,27.0,10.0,2713.0,2740.985107421875
2013.0,11.0,24.0,10.0,2500.0,2741.180419921875
2013.0,12.0,26.0,10.0,2148.0,2739.981201171875
2013.0,13.0,36.0,10.0,2343.0,2736.545654296875
2013.0,14.0,32.0,19.0,2395.0,2737.7412109375
2013.0,15.0,29.0,19.0,2500.0,2737.936279296875
2013.0,16.0,37.0,19.0,2688.0,2735.040283203125
2013.0,17.0,40.0,19.0,2699.0,2733.546630859375
2013.0,18.0,26.0,19.0,2854.0,2736.835205078125
2013.0,19.0,23.0,17.0,2747.0,2736.869140625
2013.0,20.0,29.0,17.0,2519.0,2734.533447265625
2013.0,21.0,35.0,17.0,2726.0,2732.194091796875
2013.0,22.0,31.0,17.0,2733.0,2732.669189453125
2013.0,23.0,27.0,12.0,2434.0,2732.75439453125
2013.0,24.0,79.0,12.0,2330.0,2717.44580078125
2013.0,25.0,116.0,12.0,2755.0,2706.31103515625
2013.0,26.0,52.0,12.0,2413.0,2723.75634765625
2013.0,27.0,26.0,15.0,2368.0,2730.66162109375
2013.0,28.0,26.0,15.0,2371.0,2730.008056640625
2013.0,29.0,26.0,15.0,2543.0,2729.354248046875
2013.0,30.0,29.0,15.0,2423.0,2727.851806640625
2013.0,31.0,23.0,15.0,2476.0,2728.891357421875
2013.0,32.0,23.0,15.0,2426.0,2728.23583984375
2013.0,33.0,25.0,15.0,2700.0,2727.013916015625
2013.0,34.0,28.0,15.0,2565.0,2725.507568359375
2013.0,35.0,27.0,15.0,2380.0,2725.13232421875
2013.0,36.0,18.0,19.0,2262.0,2727.32421875
2013.0,37.0,25.0,19.0,2211.0,2724.677490234375
2013.0,38.0,27.0,19.0,2373.0,2723.447998046875
2013.0,39.0,34.0,19.0,2180.0,2720.794677734375
2013.0,40.0,26.0,19.0,2301.0,2722.407958984375
2013.0,41.0,25.0,19.0,2429.0,2722.029541015625
2013.0,42.0,23.0,19.0,2429.0,2721.935302734375
2013.0,43.0,30.0,19.0,2401.0,2719.277099609375
2013.0,44.0,28.0,19.0,2155.0,2719.181640625
2013.0,45.0,28.0,22.0,3018.0,2718.72998046875
2013.0,46.0,23.0,22.0,2494.0,2719.491455078125
2013.0,47.0,21.0,22.0,2576.0,2719.395751953125
2013.0,48.0,20.0,22.0,2363.0,2719.013916015625
2013.0,49.0,18.0,22.0,2526.0,2718.917724609375
2013.0,50.0,24.0,21.0,2509.0,2716.46142578125
2013.0,51.0,20.0,21.0,2458.0,2716.936767578125
2013.0,52.0,33.0,21.0,2605.0,2712.54248046875
2014.0,1.0,27.0,5.0,2766.0,2746.142822265625
2014.0,2.0,25.0,5.0,2805.0,2746.0625
2014.0,3.0,32.0,5.0,3124.0,2743.48974609375
2014.0,4.0,36.0,5.0,3288.0,2741.744873046875
2014.0,5.0,27.0,5.0,3242.0,2743.603759765625
2014.0,6.0,32.0,1.0,3200.0,2741.25634765625
2014.0,7.0,32.0,1.0,2793.0,2740.61962890625
2014.0,8.0,34.0,1.0,2590.0,2739.427978515625
2014.0,9.0,37.0,1.0,2576.0,2737.95703125
2014.0,10.0,44.0,6.0,2473.0,2735.763671875
2014.0,11.0,38.0,6.0,2493.0,2736.793701171875
2014.0,12.0,34.0,6.0,2003.0,2737.26611328125
2014.0,13.0,41.0,6.0,2198.0,2734.671630859375
2014.0,14.0,55.0,17.0,2059.0,2730.958251953125
2014.0,15.0,61.0,17.0,2248.0,2728.620361328125
